time,contract,last,bid,ask,volume
2026-09-18 09:45:00,rb2610,3173.1,3172.6,3173.6,1515
2026-09-18 09:46:00,rb2610,3174.1,3173.6,3174.6,1522
2026-09-18 09:47:00,rb2610,3175.1,3174.6,3175.6,1529
2026-09-18 09:48:00,rb2610,3176.0,3175.5,3176.5,1536
2026-09-18 09:49:00,rb2610,3176.9,3176.4,3177.4,1543
2026-09-18 09:50:00,rb2610,3177.7,3177.2,3178.2,1550
2026-09-18 09:51:00,rb2610,3178.3,3177.8,3178.8,1557
2026-09-18 09:52:00,rb2610,3178.8,3178.3,3179.3,1564
2026-09-18 09:53:00,rb2610,3179.3,3178.8,3179.8,1571
2026-09-18 09:54:00,rb2610,3179.5,3179.0,3180.0,1578
2026-09-18 09:55:00,rb2610,3179.8,3179.3,3180.3,1585
2026-09-18 09:56:00,rb2610,3179.9,3179.4,3180.4,1592
2026-09-18 09:57:00,rb2610,3180.1,3179.6,3180.6,1599
2026-09-18 09:58:00,rb2610,3180.2,3179.7,3180.7,1606
2026-09-18 09:59:00,rb2610,3180.4,3179.9,3180.9,1613
2026-09-18 10:00:00,rb2610,3180.7,3180.2,3181.2,1620
2026-09-18 10:01:00,rb2610,3181.1,3180.6,3181.6,1627
2026-09-18 10:02:00,rb2610,3181.6,3181.1,3182.1,1634
2026-09-18 10:03:00,rb2610,3182.3,3181.8,3182.8,1641
2026-09-18 10:04:00,rb2610,3183.0,3182.5,3183.5,1648
2026-09-18 10:05:00,rb2610,3183.9,3183.4,3184.4,1655
2026-09-18 10:06:00,rb2610,3184.8,3184.3,3185.3,1662
2026-09-18 10:07:00,rb2610,3185.8,3185.3,3186.3,1669
2026-09-18 10:08:00,rb2610,3186.8,3186.3,3187.3,1676
2026-09-18 10:09:00,rb2610,3187.8,3187.3,3188.3,1683
2026-09-18 10:10:00,rb2610,3188.6,3188.1,3189.1,1690
2026-09-18 10:11:00,rb2610,3189.4,3188.9,3189.9,1697
2026-09-18 10:12:00,rb2610,3189.9,3189.4,3190.4,1704
2026-09-18 10:13:00,rb2610,3190.2,3189.7,3190.7,1711
2026-09-18 10:14:00,rb2610,3190.3,3189.8,3190.8,1718
2026-09-18 10:15:00,rb2610,3190.1,3189.6,3190.6,1725
2026-09-18 10:16:00,rb2610,3189.6,3189.1,3190.1,1732
2026-09-18 10:17:00,rb2610,3188.9,3188.4,3189.4,1739
2026-09-18 10:18:00,rb2610,3187.9,3187.4,3188.4,1746
2026-09-18 10:19:00,rb2610,3186.7,3186.2,3187.2,1753
2026-09-18 10:20:00,rb2610,3185.3,3184.8,3185.8,1760
2026-09-18 10:21:00,rb2610,3183.8,3183.3,3184.3,1767
2026-09-18 10:22:00,rb2610,3182.2,3181.7,3182.7,1774
2026-09-18 10:23:00,rb2610,3180.6,3180.1,3181.1,1781
2026-09-18 10:24:00,rb2610,3179.1,3178.6,3179.6,1788
2026-09-18 10:25:00,rb2610,3177.6,3177.1,3178.1,1795
2026-09-18 10:26:00,rb2610,3176.3,3175.8,3176.8,1802
2026-09-18 10:27:00,rb2610,3175.2,3174.7,3175.7,1809
2026-09-18 10:28:00,rb2610,3174.2,3173.7,3174.7,1816
2026-09-18 10:29:00,rb2610,3173.5,3173.0,3174.0,1823
2026-09-18 10:30:00,rb2610,3173.0,3172.5,3173.5,1830
2026-09-18 10:31:00,rb2610,3172.8,3172.3,3173.3,1837
2026-09-18 10:32:00,rb2610,3172.7,3172.2,3173.2,1844
2026-09-18 10:33:00,rb2610,3172.8,3172.3,3173.3,1851
2026-09-18 10:34:00,rb2610,3173.0,3172.5,3173.5,1858
2026-09-18 10:35:00,rb2610,3173.3,3172.8,3173.8,1865
2026-09-18 10:36:00,rb2610,3173.7,3173.2,3174.2,1872
2026-09-18 10:37:00,rb2610,3174.1,3173.6,3174.6,1879
2026-09-18 10:38:00,rb2610,3174.5,3174.0,3175.0,1886
2026-09-18 10:39:00,rb2610,3174.8,3174.3,3175.3,1893
2026-09-18 10:40:00,rb2610,3175.0,3174.5,3175.5,1900
2026-09-18 10:41:00,rb2610,3175.2,3174.7,3175.7,1907
2026-09-18 10:42:00,rb2610,3175.3,3174.8,3175.8,1914
2026-09-18 10:43:00,rb2610,3175.2,3174.7,3175.7,1921
2026-09-18 10:44:00,rb2610,3175.2,3174.7,3175.7,1928
2026-09-18 10:45:00,rb2610,3175.0,3174.5,3175.5,1935
2026-09-18 10:46:00,rb2610,3174.9,3174.4,3175.4,1942
2026-09-18 10:47:00,rb2610,3174.8,3174.3,3175.3,1949
2026-09-18 10:48:00,rb2610,3174.8,3174.3,3175.3,1956
2026-09-18 10:49:00,rb2610,3174.9,3174.4,3175.4,1963
2026-09-18 10:50:00,rb2610,3175.2,3174.7,3175.7,1970
2026-09-18 10:51:00,rb2610,3175.6,3175.1,3176.1,1977
2026-09-18 10:52:00,rb2610,3176.1,3175.6,3176.6,1984
2026-09-18 10:53:00,rb2610,3176.9,3176.4,3177.4,1991
2026-09-18 10:54:00,rb2610,3177.9,3177.4,3178.4,1998
2026-09-18 10:55:00,rb2610,3179.0,3178.5,3179.5,2005
2026-09-18 10:56:00,rb2610,3180.3,3179.8,3180.8,2012
2026-09-18 10:57:00,rb2610,3181.7,3181.2,3182.2,2019
2026-09-18 10:58:00,rb2610,3183.1,3182.6,3183.6,2026
2026-09-18 10:59:00,rb2610,3184.6,3184.1,3185.1,2033
