date,symbol,momentum_20,fwd_ret_5d
2024-05-14,000333.SZ,-0.02,-0.005
2024-05-14,601166.SH,-0.0092,-0.0024
2024-05-14,000001.SZ,-0.0272,-0.0106
2024-05-14,600276.SH,-0.0141,-0.0069
2024-05-21,600519.SH,-0.0251,-0.0107
2024-05-21,000858.SZ,-0.0179,-0.0068
2024-05-21,601318.SH,-0.0096,-0.002
2024-05-21,600036.SH,-0.03,-0.0085
2024-05-21,000333.SZ,-0.0192,-0.0059
2024-05-21,601166.SH,-0.0072,-0.0036
2024-05-21,000001.SZ,-0.0241,-0.0104
2024-05-21,600276.SH,-0.0102,-0.0046
2024-05-28,600519.SH,-0.0279,-0.0103
2024-05-28,000858.SZ,-0.0196,-0.0055
2024-05-28,601318.SH,-0.01,-0.0015
2024-05-28,600036.SH,-0.0292,-0.0094
2024-05-28,000333.SZ,-0.0172,-0.0071
2024-05-28,601166.SH,-0.0041,-0.0034
2024-05-28,000001.SZ,-0.0202,-0.0081
2024-05-28,600276.SH,-0.0056,-0.0011
2024-06-04,600519.SH,-0.0296,-0.009
2024-06-04,000858.SZ,-0.02,-0.005
2024-06-04,601318.SH,-0.0092,-0.0024
2024-06-04,600036.SH,-0.0272,-0.0106
2024-06-04,000333.SZ,-0.0141,-0.0069
2024-06-04,601166.SH,-0.0002,-0.0011
2024-06-04,000001.SZ,-0.0156,-0.0046
2024-06-04,600276.SH,-0.0007,0.0017
2024-06-11,600519.SH,-0.03,-0.0085
2024-06-11,000858.SZ,-0.0192,-0.0059
2024-06-11,601318.SH,-0.0072,-0.0036
2024-06-11,600036.SH,-0.0241,-0.0104
2024-06-11,000333.SZ,-0.0102,-0.0046
2024-06-11,601166.SH,0.0044,0.0024
2024-06-11,000001.SZ,-0.0107,-0.0018
2024-06-11,600276.SH,0.0043,0.0028
2024-06-18,600519.SH,-0.0292,-0.0094
2024-06-18,000858.SZ,-0.0172,-0.0071
2024-06-18,601318.SH,-0.0041,-0.0034
2024-06-18,600036.SH,-0.0202,-0.0081
2024-06-18,000333.SZ,-0.0056,-0.0011
2024-06-18,601166.SH,0.0093,0.0052
2024-06-18,000001.SZ,-0.0057,-0.0007
2024-06-18,600276.SH,0.009,0.0026
2024-06-25,600519.SH,-0.0272,-0.0106
2024-06-25,000858.SZ,-0.0141,-0.0069
2024-06-25,601318.SH,-0.0002,-0.0011
2024-06-25,600036.SH,-0.0156,-0.0046
2024-06-25,000333.SZ,-0.0007,0.0017
2024-06-25,601166.SH,0.0143,0.0063
2024-06-25,000001.SZ,-0.001,-0.0009
2024-06-25,600276.SH,0.0131,0.0027
2024-07-02,600519.SH,-0.0241,-0.0104
2024-07-02,000858.SZ,-0.0102,-0.0046
2024-07-02,601318.SH,0.0044,0.0024
2024-07-02,600036.SH,-0.0107,-0.0018
2024-07-02,000333.SZ,0.0043,0.0028
2024-07-02,601166.SH,0.019,0.0061
2024-07-02,000001.SZ,0.0031,-0.0008
2024-07-02,600276.SH,0.0165,0.0043
2024-07-09,600519.SH,-0.0202,-0.0081
2024-07-09,000858.SZ,-0.0056,-0.0011
2024-07-09,601318.SH,0.0093,0.0052
2024-07-09,600036.SH,-0.0057,-0.0007
2024-07-09,000333.SZ,0.009,0.0026
2024-07-09,601166.SH,0.0231,0.0062
2024-07-09,000001.SZ,0.0065,0.0008
2024-07-09,600276.SH,0.0188,0.0069
2024-07-16,600519.SH,-0.0156,-0.0046
2024-07-16,000858.SZ,-0.0007,0.0017
2024-07-16,601318.SH,0.0143,0.0063
2024-07-16,600036.SH,-0.001,-0.0009
2024-07-16,000333.SZ,0.0131,0.0027
2024-07-16,601166.SH,0.0265,0.0078
2024-07-16,000001.SZ,0.0088,0.0034
2024-07-16,600276.SH,0.0199,0.0088
2024-07-23,600519.SH,-0.0107,-0.0018
2024-07-23,000858.SZ,0.0043,0.0028
2024-07-23,601318.SH,0.019,0.0061
2024-07-23,600036.SH,0.0031,-0.0008
2024-07-23,000333.SZ,0.0165,0.0043
2024-07-23,601166.SH,0.0288,0.0104
2024-07-23,000001.SZ,0.0099,0.0053
2024-07-23,600276.SH,0.0198,0.0086
2024-07-30,600519.SH,-0.0057,-0.0007
2024-07-30,000858.SZ,0.009,0.0026
2024-07-30,601318.SH,0.0231,0.0062
2024-07-30,600036.SH,0.0065,0.0008
2024-07-30,000333.SZ,0.0188,0.0069
2024-07-30,601166.SH,0.0299,0.0123
2024-07-30,000001.SZ,0.0098,0.0051
2024-07-30,600276.SH,0.0185,0.0064
2024-08-06,600519.SH,-0.001,-0.0009
2024-08-06,000858.SZ,0.0131,0.0027
2024-08-06,601318.SH,0.0265,0.0078
2024-08-06,600036.SH,0.0088,0.0034
2024-08-06,000333.SZ,0.0199,0.0088
2024-08-06,601166.SH,0.0298,0.0121
2024-08-06,000001.SZ,0.0085,0.0029
2024-08-06,600276.SH,0.016,0.0039
2024-08-13,600519.SH,0.0031,-0.0008
2024-08-13,000858.SZ,0.0165,0.0043
2024-08-13,601318.SH,0.0288,0.0104
2024-08-13,600036.SH,0.0099,0.0053
2024-08-13,000333.SZ,0.0198,0.0086
2024-08-13,601166.SH,0.0285,0.0099
2024-08-13,000001.SZ,0.006,0.0004
2024-08-13,600276.SH,0.0125,0.0026
2024-08-20,600519.SH,0.0065,0.0008
2024-08-20,000858.SZ,0.0188,0.0069
2024-08-20,601318.SH,0.0299,0.0123
2024-08-20,600036.SH,0.0098,0.0051
2024-08-20,000333.SZ,0.0185,0.0064
2024-08-20,601166.SH,0.026,0.0074
2024-08-20,000001.SZ,0.0025,-0.0009
2024-08-20,600276.SH,0.0082,0.0026
2024-08-27,600519.SH,0.0088,0.0034
2024-08-27,000858.SZ,0.0199,0.0088
2024-08-27,601318.SH,0.0298,0.0121
2024-08-27,600036.SH,0.0085,0.0029
2024-08-27,000333.SZ,0.016,0.0039
2024-08-27,601166.SH,0.0225,0.0061
2024-08-27,000001.SZ,-0.0018,-0.0009
2024-08-27,600276.SH,0.0035,0.0028
2024-09-03,600519.SH,0.0099,0.0053
2024-09-03,000858.SZ,0.0198,0.0086
2024-09-03,601318.SH,0.0285,0.0099
2024-09-03,600036.SH,0.006,0.0004
2024-09-03,000333.SZ,0.0125,0.0026
2024-09-03,601166.SH,0.0182,0.0061
2024-09-03,000001.SZ,-0.0065,-0.0007
2024-09-03,600276.SH,-0.0015,0.0014
2024-09-10,600519.SH,0.0098,0.0051
2024-09-10,000858.SZ,0.0185,0.0064
2024-09-10,601318.SH,0.026,0.0074
2024-09-10,600036.SH,0.0025,-0.0009
2024-09-10,000333.SZ,0.0082,0.0026
2024-09-10,601166.SH,0.0135,0.0063
2024-09-10,000001.SZ,-0.0115,-0.0021
2024-09-10,600276.SH,-0.0064,-0.0017
2024-09-17,600519.SH,0.0085,0.0029
2024-09-17,000858.SZ,0.016,0.0039
2024-09-17,601318.SH,0.0225,0.0061
2024-09-17,600036.SH,-0.0018,-0.0009
2024-09-17,000333.SZ,0.0035,0.0028
2024-09-17,601166.SH,0.0085,0.0049
2024-09-17,000001.SZ,-0.0164,-0.0052
2024-09-17,600276.SH,-0.0109,-0.0051
2024-09-24,600519.SH,0.006,0.0004
2024-09-24,000858.SZ,0.0125,0.0026
2024-09-24,601318.SH,0.0182,0.0061
2024-09-24,600036.SH,-0.0065,-0.0007
2024-09-24,000333.SZ,-0.0015,0.0014
2024-09-24,601166.SH,0.0036,0.0018
2024-09-24,000001.SZ,-0.0209,-0.0086
2024-09-24,600276.SH,-0.0147,-0.0071
2024-10-01,600519.SH,0.0025,-0.0009
2024-10-01,000858.SZ,0.0082,0.0026
2024-10-01,601318.SH,0.0135,0.0063
2024-10-01,600036.SH,-0.0115,-0.0021
2024-10-01,000333.SZ,-0.0064,-0.0017
2024-10-01,601166.SH,-0.0009,-0.0016
2024-10-01,000001.SZ,-0.0247,-0.0106
2024-10-01,600276.SH,-0.0176,-0.007
2024-10-08,600519.SH,-0.0018,-0.0009
2024-10-08,000858.SZ,0.0035,0.0028
2024-10-08,601318.SH,0.0085,0.0049
2024-10-08,600036.SH,-0.0164,-0.0052
2024-10-08,000333.SZ,-0.0109,-0.0051
2024-10-08,601166.SH,-0.0047,-0.0036
2024-10-08,000001.SZ,-0.0276,-0.0105
2024-10-08,600276.SH,-0.0194,-0.0057
2024-10-15,600519.SH,-0.0065,-0.0007
2024-10-15,000858.SZ,-0.0015,0.0014
2024-10-15,601318.SH,0.0036,0.0018
2024-10-15,600036.SH,-0.0209,-0.0086
2024-10-15,000333.SZ,-0.0147,-0.0071
2024-10-15,601166.SH,-0.0076,-0.0035
2024-10-15,000001.SZ,-0.0294,-0.0092
2024-10-15,600276.SH,-0.02,-0.005
2024-10-22,600519.SH,-0.0115,-0.0021
2024-10-22,000858.SZ,-0.0064,-0.0017
2024-10-22,601318.SH,-0.0009,-0.0016
2024-10-22,600036.SH,-0.0247,-0.0106
2024-10-22,000333.SZ,-0.0176,-0.007
2024-10-22,601166.SH,-0.0094,-0.0022
2024-10-22,000001.SZ,-0.03,-0.0085
2024-10-22,600276.SH,-0.0194,-0.0057
2024-10-29,600519.SH,-0.0164,-0.0052
2024-10-29,000858.SZ,-0.0109,-0.0051
2024-10-29,601318.SH,-0.0047,-0.0036
2024-10-29,600036.SH,-0.0276,-0.0105
2024-10-29,000333.SZ,-0.0194,-0.0057
2024-10-29,601166.SH,-0.01,-0.0015
2024-10-29,000001.SZ,-0.0294,-0.0092
2024-10-29,600276.SH,-0.0175,-0.007
2024-11-05,600519.SH,-0.0209,-0.0086
2024-11-05,000858.SZ,-0.0147,-0.0071
2024-11-05,601318.SH,-0.0076,-0.0035
2024-11-05,600036.SH,-0.0294,-0.0092
2024-11-05,000333.SZ,-0.02,-0.005
2024-11-05,601166.SH,-0.0094,-0.0022
2024-11-05,000001.SZ,-0.0275,-0.0105
2024-11-05,600276.SH,-0.0146,-0.0071
2024-11-12,600519.SH,-0.0247,-0.0106
2024-11-12,000858.SZ,-0.0176,-0.007
2024-11-12,601318.SH,-0.0094,-0.0022
2024-11-12,600036.SH,-0.03,-0.0085
2024-11-12,000333.SZ,-0.0194,-0.0057
2024-11-12,601166.SH,-0.0075,-0.0035
2024-11-12,000001.SZ,-0.0246,-0.0106
2024-11-12,600276.SH,-0.0107,-0.005
2024-11-19,600519.SH,-0.0276,-0.0105
2024-11-19,000858.SZ,-0.0194,-0.0057
2024-11-19,601318.SH,-0.01,-0.0015
2024-11-19,600036.SH,-0.0294,-0.0092
2024-11-19,000333.SZ,-0.0175,-0.007
2024-11-19,601166.SH,-0.0046,-0.0036
2024-11-19,000001.SZ,-0.0207,-0.0085
2024-11-19,600276.SH,-0.0062,-0.0016
2024-11-26,600519.SH,-0.0294,-0.0092
2024-11-26,000858.SZ,-0.02,-0.005
2024-11-26,601318.SH,-0.0094,-0.0022
2024-11-26,600036.SH,-0.0275,-0.0105
2024-11-26,000333.SZ,-0.0146,-0.0071
2024-11-26,601166.SH,-0.0007,-0.0015
2024-11-26,000001.SZ,-0.0162,-0.0051
2024-11-26,600276.SH,-0.0013,0.0015
2024-12-03,600519.SH,-0.03,-0.0085
2024-12-03,000858.SZ,-0.0194,-0.0057
2024-12-03,601318.SH,-0.0075,-0.0035
2024-12-03,600036.SH,-0.0246,-0.0106
2024-12-03,000333.SZ,-0.0107,-0.005
2024-12-03,601166.SH,0.0038,0.0019
2024-12-03,000001.SZ,-0.0113,-0.002
2024-12-03,600276.SH,0.0037,0.0028
2024-12-10,600519.SH,-0.0294,-0.0092
2024-12-10,000858.SZ,-0.0175,-0.007
2024-12-10,601318.SH,-0.0046,-0.0036
2024-12-10,600036.SH,-0.0207,-0.0085
2024-12-10,000333.SZ,-0.0062,-0.0016
2024-12-10,601166.SH,0.0087,0.005
2024-12-10,000001.SZ,-0.0063,-0.0007
2024-12-10,600276.SH,0.0084,0.0026
2024-12-17,600519.SH,-0.0275,-0.0105
2024-12-17,000858.SZ,-0.0146,-0.0071
2024-12-17,601318.SH,-0.0007,-0.0015
2024-12-17,600036.SH,-0.0162,-0.0051
2024-12-17,000333.SZ,-0.0013,0.0015
2024-12-17,601166.SH,0.0137,0.0063
2024-12-17,000001.SZ,-0.0016,-0.0009
2024-12-17,600276.SH,0.0126,0.0026
2024-12-24,600519.SH,-0.0246,-0.0106
2024-12-24,000858.SZ,-0.0107,-0.005
2024-12-24,601318.SH,0.0038,0.0019
2024-12-24,600036.SH,-0.0113,-0.002
2024-12-24,000333.SZ,0.0037,0.0028
2024-12-24,601166.SH,0.0184,0.0061
2024-12-24,000001.SZ,0.0026,-0.0009
2024-12-24,600276.SH,0.0161,0.004
2024-12-31,600519.SH,-0.0207,-0.0085
2024-12-31,000858.SZ,-0.0062,-0.0016
2024-12-31,601318.SH,0.0087,0.005
2024-12-31,600036.SH,-0.0063,-0.0007
2024-12-31,000333.SZ,0.0084,0.0026
2024-12-31,601166.SH,0.0226,0.0061
2024-12-31,000001.SZ,0.0061,0.0005
2024-12-31,600276.SH,0.0185,0.0065
2025-01-07,600519.SH,-0.0162,-0.0051
2025-01-07,000858.SZ,-0.0013,0.0015
2025-01-07,601318.SH,0.0137,0.0063
2025-01-07,600036.SH,-0.0016,-0.0009
2025-01-07,000333.SZ,0.0126,0.0026
2025-01-07,601166.SH,0.0261,0.0075
2025-01-07,000001.SZ,0.0085,0.003
2025-01-07,600276.SH,0.0198,0.0086
2025-01-14,600519.SH,-0.0113,-0.002
2025-01-14,000858.SZ,0.0037,0.0028
2025-01-14,601318.SH,0.0184,0.0061
2025-01-14,600036.SH,0.0026,-0.0009
2025-01-14,000333.SZ,0.0161,0.004
2025-01-14,601166.SH,0.0285,0.01
2025-01-14,000001.SZ,0.0098,0.0051
2025-01-14,600276.SH,0.0199,0.0088
2025-01-21,600519.SH,-0.0063,-0.0007
2025-01-21,000858.SZ,0.0084,0.0026
2025-01-21,601318.SH,0.0226,0.0061
2025-01-21,600036.SH,0.0061,0.0005
2025-01-21,000333.SZ,0.0185,0.0065
2025-01-21,601166.SH,0.0298,0.0121
2025-01-21,000001.SZ,0.0099,0.0053
2025-01-21,600276.SH,0.0187,0.0068
2025-01-28,600519.SH,-0.0016,-0.0009
2025-01-28,000858.SZ,0.0126,0.0026
2025-01-28,601318.SH,0.0261,0.0075
2025-01-28,600036.SH,0.0085,0.003
2025-01-28,000333.SZ,0.0198,0.0086
2025-01-28,601166.SH,0.0299,0.0123
2025-01-28,000001.SZ,0.0087,0.0033
2025-01-28,600276.SH,0.0164,0.0042
2025-02-04,600519.SH,0.0026,-0.0009
2025-02-04,000858.SZ,0.0161,0.004
2025-02-04,601318.SH,0.0285,0.01
2025-02-04,600036.SH,0.0098,0.0051
2025-02-04,000333.SZ,0.0199,0.0088
2025-02-04,601166.SH,0.0287,0.0103
2025-02-04,000001.SZ,0.0064,0.0007
2025-02-04,600276.SH,0.013,0.0026
2025-02-11,600519.SH,0.0061,0.0005
2025-02-11,000858.SZ,0.0185,0.0065
2025-02-11,601318.SH,0.0298,0.0121
2025-02-11,600036.SH,0.0099,0.0053
2025-02-11,000333.SZ,0.0187,0.0068
2025-02-11,601166.SH,0.0264,0.0077
2025-02-11,000001.SZ,0.003,-0.0009
2025-02-11,600276.SH,0.0088,0.0026
2025-02-18,600519.SH,0.0085,0.003
2025-02-18,000858.SZ,0.0198,0.0086
2025-02-18,601318.SH,0.0299,0.0123
2025-02-18,600036.SH,0.0087,0.0033
2025-02-18,000333.SZ,0.0164,0.0042
2025-02-18,601166.SH,0.023,0.0061
2025-02-18,000001.SZ,-0.0012,-0.0009
2025-02-18,600276.SH,0.0041,0.0028
2025-02-25,600519.SH,0.0098,0.0051
2025-02-25,000858.SZ,0.0199,0.0088
2025-02-25,601318.SH,0.0287,0.0103
2025-02-25,600036.SH,0.0064,0.0007
2025-02-25,000333.SZ,0.013,0.0026
2025-02-25,601166.SH,0.0188,0.0061
2025-02-25,000001.SZ,-0.0059,-0.0007
2025-02-25,600276.SH,-0.0008,0.0017
2025-03-04,600519.SH,0.0099,0.0053
2025-03-04,000858.SZ,0.0187,0.0068
2025-03-04,601318.SH,0.0264,0.0077
2025-03-04,600036.SH,0.003,-0.0009
2025-03-04,000333.SZ,0.0088,0.0026
2025-03-04,601166.SH,0.0141,0.0063
2025-03-04,000001.SZ,-0.0108,-0.0018
2025-03-04,600276.SH,-0.0058,-0.0012
2025-03-11,600519.SH,0.0087,0.0033
2025-03-11,000858.SZ,0.0164,0.0042
2025-03-11,601318.SH,0.023,0.0061
2025-03-11,600036.SH,-0.0012,-0.0009
2025-03-11,000333.SZ,0.0041,0.0028
2025-03-11,601166.SH,0.0092,0.0052
2025-03-11,000001.SZ,-0.0158,-0.0047
2025-03-11,600276.SH,-0.0103,-0.0047
2025-03-18,600519.SH,0.0064,0.0007
2025-03-18,000858.SZ,0.013,0.0026
2025-03-18,601318.SH,0.0188,0.0061
2025-03-18,600036.SH,-0.0059,-0.0007
2025-03-18,000333.SZ,-0.0008,0.0017
2025-03-18,601166.SH,0.0042,0.0023
2025-03-18,000001.SZ,-0.0203,-0.0082
2025-03-18,600276.SH,-0.0142,-0.007
2025-03-25,600519.SH,0.003,-0.0009
2025-03-25,000858.SZ,0.0088,0.0026
2025-03-25,601318.SH,0.0141,0.0063
2025-03-25,600036.SH,-0.0108,-0.0018
2025-03-25,000333.SZ,-0.0058,-0.0012
2025-03-25,601166.SH,-0.0003,-0.0012
2025-03-25,000001.SZ,-0.0242,-0.0105
2025-03-25,600276.SH,-0.0173,-0.0071
2025-04-01,600519.SH,-0.0012,-0.0009
2025-04-01,000858.SZ,0.0041,0.0028
2025-04-01,601318.SH,0.0092,0.0052
2025-04-01,600036.SH,-0.0158,-0.0047
2025-04-01,000333.SZ,-0.0103,-0.0047
2025-04-01,601166.SH,-0.0042,-0.0035
2025-04-01,000001.SZ,-0.0273,-0.0106
2025-04-01,600276.SH,-0.0192,-0.0058
2025-04-08,600519.SH,-0.0059,-0.0007
2025-04-08,000858.SZ,-0.0008,0.0017
2025-04-08,601318.SH,0.0042,0.0023
2025-04-08,600036.SH,-0.0203,-0.0082
2025-04-08,000333.SZ,-0.0142,-0.007
2025-04-08,601166.SH,-0.0073,-0.0036
2025-04-08,000001.SZ,-0.0292,-0.0093
2025-04-08,600276.SH,-0.02,-0.005
2025-04-15,600519.SH,-0.0108,-0.0018
2025-04-15,000858.SZ,-0.0058,-0.0012
2025-04-15,601318.SH,-0.0003,-0.0012
2025-04-15,600036.SH,-0.0242,-0.0105
2025-04-15,000333.SZ,-0.0173,-0.0071
2025-04-15,601166.SH,-0.0092,-0.0023
2025-04-15,000001.SZ,-0.03,-0.0085
2025-04-15,600276.SH,-0.0195,-0.0056
2025-04-22,600519.SH,-0.0158,-0.0047
2025-04-22,000858.SZ,-0.0103,-0.0047
2025-04-22,601318.SH,-0.0042,-0.0035
2025-04-22,600036.SH,-0.0273,-0.0106
2025-04-22,000333.SZ,-0.0192,-0.0058
2025-04-22,601166.SH,-0.01,-0.0015
2025-04-22,000001.SZ,-0.0295,-0.0091
2025-04-22,600276.SH,-0.0178,-0.0068
2025-04-29,600519.SH,-0.0203,-0.0082
2025-04-29,000858.SZ,-0.0142,-0.007
2025-04-29,601318.SH,-0.0073,-0.0036
2025-04-29,600036.SH,-0.0292,-0.0093
2025-04-29,000333.SZ,-0.02,-0.005
2025-04-29,601166.SH,-0.0095,-0.0021
2025-04-29,000001.SZ,-0.0278,-0.0103
2025-04-29,600276.SH,-0.015,-0.0072
2025-05-06,600519.SH,-0.0242,-0.0105
2025-05-06,000858.SZ,-0.0173,-0.0071
2025-05-06,601318.SH,-0.0092,-0.0023
2025-05-06,600036.SH,-0.03,-0.0085
2025-05-06,000333.SZ,-0.0195,-0.0056
2025-05-06,601166.SH,-0.0078,-0.0033
2025-05-06,000001.SZ,-0.025,-0.0107
2025-05-06,600276.SH,-0.0113,-0.0054
2025-05-13,600519.SH,-0.0273,-0.0106
2025-05-13,000858.SZ,-0.0192,-0.0058
2025-05-13,601318.SH,-0.01,-0.0015
2025-05-13,600036.SH,-0.0295,-0.0091
2025-05-13,000333.SZ,-0.0178,-0.0068
2025-05-13,601166.SH,-0.005,-0.0037
2025-05-13,000001.SZ,-0.0213,-0.0089
2025-05-13,600276.SH,-0.0068,-0.002
2025-05-20,600519.SH,-0.0292,-0.0093
2025-05-20,000858.SZ,-0.02,-0.005
2025-05-20,601318.SH,-0.0095,-0.0021
2025-05-20,600036.SH,-0.0278,-0.0103
2025-05-20,000333.SZ,-0.015,-0.0072
2025-05-20,601166.SH,-0.0013,-0.0019
2025-05-20,000001.SZ,-0.0168,-0.0055
2025-05-20,600276.SH,-0.002,0.0011
2025-05-27,600519.SH,-0.03,-0.0085
2025-05-27,000858.SZ,-0.0195,-0.0056
2025-05-27,601318.SH,-0.0078,-0.0033
2025-05-27,600036.SH,-0.025,-0.0107
2025-05-27,000333.SZ,-0.0113,-0.0054
2025-05-27,601166.SH,0.0032,0.0015
2025-05-27,000001.SZ,-0.012,-0.0024
2025-05-27,600276.SH,0.003,0.0027
2025-06-03,600519.SH,-0.0295,-0.0091
2025-06-03,000858.SZ,-0.0178,-0.0068
2025-06-03,601318.SH,-0.005,-0.0037
2025-06-03,600036.SH,-0.0213,-0.0089
2025-06-03,000333.SZ,-0.0068,-0.002
2025-06-03,601166.SH,0.008,0.0046
2025-06-03,000001.SZ,-0.007,-0.0008
2025-06-03,600276.SH,0.0078,0.0027
2025-06-10,600519.SH,-0.0278,-0.0103
2025-06-10,000858.SZ,-0.015,-0.0072
2025-06-10,601318.SH,-0.0013,-0.0019
2025-06-10,600036.SH,-0.0168,-0.0055
2025-06-10,000333.SZ,-0.002,0.0011
2025-06-10,601166.SH,0.013,0.0062
2025-06-10,000001.SZ,-0.0022,-0.0008
2025-06-10,600276.SH,0.0121,0.0025
